Date,Brand,Category,Region,SKU,Sales,Units,MarginRate
2025-01-01,Aurora,Color,North,AUR-01,121500,12100,0.311
2025-01-01,Bloom,Care,North,BLO-01,91000,7600,0.271
2025-01-01,Cinder,Color,South,CIN-01,81500,8050,0.291
2025-01-01,Dune,Care,South,DUN-01,70500,5650,0.251
2025-01-01,Ember,Color,West,EMB-01,60000,5000,0.280
2025-02-01,Aurora,Color,North,AUR-01,127500,12150,0.316
2025-02-01,Bloom,Care,North,BLO-01,97000,8050,0.276
2025-02-01,Cinder,Color,South,CIN-01,85000,8100,0.296
2025-02-01,Dune,Care,South,DUN-01,74500,5700,0.256
2025-02-01,Ember,Color,West,EMB-01,63000,5150,0.283
2025-03-01,Aurora,Color,North,AUR-01,130000,12200,0.318
2025-03-01,Bloom,Care,North,BLO-01,98500,8150,0.278
2025-03-01,Cinder,Color,South,CIN-01,87000,8200,0.298
2025-03-01,Dune,Care,South,DUN-01,76000,5800,0.258
2025-03-01,Ember,Color,West,EMB-01,65000,5250,0.285
2026-01-01,Aurora,Color,North,AUR-01,140000,12600,0.327
2026-01-01,Bloom,Care,North,BLO-01,101000,7900,0.282
2026-01-01,Cinder,Color,South,CIN-01,94000,8600,0.307
2026-01-01,Dune,Care,South,DUN-01,78000,5850,0.262
2026-01-01,Ember,Color,West,EMB-01,69000,5400,0.291
2026-02-01,Aurora,Color,North,AUR-01,147500,12900,0.332
2026-02-01,Bloom,Care,North,BLO-01,106000,8200,0.287
2026-02-01,Cinder,Color,South,CIN-01,99000,8800,0.312
2026-02-01,Dune,Care,South,DUN-01,82000,6000,0.267
2026-02-01,Ember,Color,West,EMB-01,72000,5550,0.294
2026-03-01,Aurora,Color,North,AUR-01,151000,13100,0.335
2026-03-01,Bloom,Care,North,BLO-01,109000,8350,0.290
2026-03-01,Cinder,Color,South,CIN-01,102000,8950,0.315
2026-03-01,Dune,Care,South,DUN-01,84500,6100,0.270
2026-03-01,Ember,Color,West,EMB-01,75000,5650,0.297
